time,1,AEX,AS51,ATX,BFX,DJIA,FCHI,FTSE,GDAXI,HSI,JKSE,KLSE,KS11,MIB#0Ò²È¥µô,MXX,N225,NZ50,OSEAX,PSI,RTS,SENSEX,SSMI,STI,TWII
2003-07-11,-0.2011,1.489484,0.03286447,0.3912754,1.38432,0.9246286,1.290716,0.7272649,1.73311,-0.7192962,1.242644,0.006914254,0.5196235,0.9872643,-0.1722118,-3.216982,0.115534,1.642177,-1.09123,-1.409877,-0.09158185,1.127754,1.969424,-0.8030456
2003-07-14,-0.4866,1.929358,0.9921792,1.525099,1.218152,0.6311747,1.655688,1.712624,2.091082,2.127835,1.95735,0.443426,2.265135,1.036269,1.181851,1.248323,0.1698254,1.57313,-1.136324,2.817951,1.210197,1.393976,1.963554,2.098871
2003-07-16,0.2655,-0.5516556,0.4348015,0.3724139,-1.009679,-0.376602,-0.8998785,-0.6191323,0.08715573,0.7066229,-1.792707,-0.6909937,0.4246925,-0.4837929,-1.353454,-0.1541408,-1.292783,1.465806,-0.1619046,-6.455364,0.9578556,-0.3509814,0.4650937,1.462
2003-07-22,0.1731,0.9091797,-0.7283911,-1.073897,0.5094113,0.6789256,0.3751974,0.8753036,0.9476697,-0.9319181,-0.7928326,-0.944889,0.8940176,0.304908,1.986696,-0.4383073,-0.3116504,-0.02078053,0.04689057,2.187112,-0.4328295,-0.1619198,-1.574651,0.7991486
2003-07-23,0.2449,-0.6870832,0.6195989,1.352783,-0.3527575,0.3907871,-0.1038021,0.1666801,-0.4119742,-1.080563,-0.8049913,0.00140417,-0.56596,-0.3235929,1.624165,1.363805,0.9167306,0.7552112,-0.222056,-1.221664,0.6685183,0.6651282,0.4947777,0.5109356
2003-07-24,-0.5792,1.81771,0.1685286,-0.5078931,0.9602818,-0.8889312,2.183271,1.544111,2.128628,0.2280687,-1.478676,-0.3506951,1.034871,1.003443,0.3950232,0.5788683,0.6195583,1.334069,-1.018025,3.096762,2.520485,1.364274,-0.3023222,2.17213
2003-07-25,-1.0579,-1.269228,0.2556103,0.2034429,-0.413102,1.88818,-1.505928,-0.4434139,-0.5312928,0.1618495,0.9979364,0.02252829,0.3058617,-0.9058148,0.5547616,-0.2377234,0.2879917,-0.1085801,-0.1221396,0.3069348,1.591842,-0.494912,0.6228599,-0.1480727
2003-07-28,-0.4913,1.275806,0.6712646,-0.08016934,0.9105763,-0.1945222,1.788489,0.4260169,1.813587,1.968767,0.5312876,-0.3223001,1.802601,1.022213,-0.4862577,1.989015,0.1216945,0.5842395,-2.10625,-0.0350363,0.3569084,1.213102,1.528334,1.057506
2003-07-29,0.4699,-0.6378787,-0.3718617,-0.1004706,-0.3754814,-0.6696135,-0.7121813,-0.2844149,0.3028319,0.6287171,-0.2574108,0.4857114,0.6310991,-1.041059,-1.107705,-0.05691705,-0.6565019,0.6281291,-2.508835,-2.544627,0.6599336,-0.2676768,-0.2884985,-2.005573
2003-07-31,-0.1967,1.834686,1.006085,-0.6302462,1.17818,0.3668458,1.190225,0.3815272,1.715648,0.1344734,-0.04525815,-0.0208162,-0.08821744,1.25848,1.306708,-0.7209867,-0.02933808,1.205068,0.9957827,1.863029,0.3224559,0.7038623,-1.346948,0.2102749
2003-08-01,0.0156,-0.866169,0.5764981,-0.07417014,-0.1547011,-0.864542,-1.265941,-1.409673,-1.404019,1.12256,0.1397709,0.3427933,1.925663,-0.8447422,-0.4712351,0.5067332,0.535327,0.6718516,-0.412763,-2.574945,0.5985311,-0.6753222,0.2829834,1.357001
